o;?Vernier Format 2
uteE> 49.90g 5.cmbl 18.10.2022 18:10:33 ,
Latest
Time	GateState	Distance	Velocity	Acceleration
t	State	d	v	acc
s		m	m/s	m/sB2

3,7278824	1	0	 	 
3,7582832	0	 	 	 
4,3195824	1	0,05	0,0997561217212	0,0515593718425
4,339412	0	 	 	 
4,7686824	1	0,1	0,122991278306	0,0519149393798
4,7832828	0	 	 	 
5,1452824	1	0,15	0,14325496293	0,0556988929304
5,1561824	0	 	 	 
5,4733828	1	0,2	0,161491229102	0,0554638253803
5,483124	0	 	 	 
5,7680832	1	0,25	0,178631120293	0,0608569613682
5,7771824	0	 	 	 
6,0357824	1	0,3	0,193316831596	0,0488610452807
6,0449868	0	 	 	 
6,2864824	1	0,35	0,207392963246	0,0634335829599
6,2943824	0	 	 	 
6,5192824	1	0,4	0,218548972836	0,032408423831
6,529102	0	 	 	 
6,7443096	1	0,45	0,228534072802	0,0563372919374
6,7529888	0	 	 	 
6,9574936	1	0,5	0,240110210729	0,0522650227513
6,965	0	 	 	 
7,1612144	1	0,55	0,251259401857	0,0571905765566
7,167484	0	 	 	 
7,3558984	1	0,6	0,262219402544	0,0554021448526
7,3619024	0	 	 	 
7,5428848	1	0,65	0,273739320202	0,0678144918378
7,548824	0	 	 	 
7,7215848	1	0,7	0,283198393371	0,0380509045711
7,7278976	0	 	 	 
7,8960936	1	0,75	0,292896086951	0,0730918410109
7,90172	0	 	 	 
8,0633136	1	0,8	0,30040998302	0,016776548756
8,0704864	0	 	 	 
8,2289864	1	0,85	0,30683960722	0,0608417953649
8,2354864	0	 	 	 
8,3893872	1	0,9	0,315755631485	0,0503300225334
8,3950872	0	 	 	 
8,545788	1	0,95	0,324259187689	0,0584105491767
8,550612	0	 	 	 
8,6979016	1	1	0,332648893233	0,0518978722208
8,7026848	0	 	 	 
8,846488	1	1,05	0,341793436225	0,0711893415683
8,8512112	0	 	 	 
8,990612	1	1,1	0,348939434431	0,0279752417964
8,9957888	0	 	 	 
9,1330896	1	1,15	0,356987933344	0,0850039059921
9,1376896	0	 	 	 
9,2708896	1	1,2	0,362948009136	0,00149937109346
9,2768304	0	 	 	 
